"HIOKI PW3360(Ver2.12)",S/N.161035999
"FOLDER",23072006
"WIRING",3P3W3M
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",30sec
"U RANGE",600V
"I RANGE",1A
"SENSOR",9694(5A)
"VT(PT)",200
"CT",600
"PULSE",001.000, ,
"ENERGY COST",0000.00,

2023-07-20 18:25:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,Freq_Max[Hz],U1_Max[V],Ufnd1_Max[V],Upeak1_Max[V],Udeg1_Max[deg],U2_Max[V],Ufnd2_Max[V],Upeak2_Max[V],Udeg2_Max[deg],U3_Max[V],Ufnd3_Max[V],Upeak3_Max[V],Udeg3_Max[deg],I1_Max[A],Ifnd1_Max[A],Ipeak1_Max[A],Ideg1_Max[deg],I2_Max[A],Ifnd2_Max[A],Ipeak2_Max[A],Ideg2_Max[deg],I3_Max[A],Ifnd3_Max[A],Ipeak3_Max[A],Ideg3_Max[deg],P1_Max[W],P2_Max[W],P3_Max[W],P_Max[W],S1_Max[VA],S2_Max[VA],S3_Max[VA],S_Max[VA],Q1_Max[var],Q2_Max[var],Q3_Max[var],Q_Max[var],PF1_Max,PF2_Max,PF3_Max,PF_Max,Freq_Min[Hz],U1_Min[V],Ufnd1_Min[V],Upeak1_Min[V],Udeg1_Min[deg],U2_Min[V],Ufnd2_Min[V],Upeak2_Min[V],Udeg2_Min[deg],U3_Min[V],Ufnd3_Min[V],Upeak3_Min[V],Udeg3_Min[deg],I1_Min[A],Ifnd1_Min[A],Ipeak1_Min[A],Ideg1_Min[deg],I2_Min[A],Ifnd2_Min[A],Ipeak2_Min[A],Ideg2_Min[deg],I3_Min[A],Ifnd3_Min[A],Ipeak3_Min[A],Ideg3_Min[deg],P1_Min[W],P2_Min[W],P3_Min[W],P_Min[W],S1_Min[VA],S2_Min[VA],S3_Min[VA],S_Min[VA],Q1_Min[var],Q2_Min[var],Q3_Min[var],Q_Min[var],PF1_Min,PF2_Min,PF3_Min,PF_Min,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem,Pulse
2023-07-21 13:58:30,0019:33:30,00000000,50.005E+00,22.64E+03,12.97E+03,0.00E+00,22.46E+03,13.31E+03,118.89E+00,22.43E+03,12.70E+03,-121.77E+00,182.43E+00,182.17E+00,58.03E+00,186.21E+00,185.94E+00,119.27E+00,186.85E+00,186.59E+00,177.96E+00,1.251E+06,2.475E+06,1.175E+06,4.90E+06,2.367E+06,2.479E+06,2.374E+06,7.22E+06,-2.009E+06,-0.135E+06,2.063E+06,4.89E+06,-0.5286E+00,-0.9981E+00,0.4951E+00,0.6789E+00,50.009E+00,22.68E+03,12.99E+03,19.07E+03,0.00E+00,22.51E+03,13.34E+03,19.63E+03,118.93E+00,22.47E+03,12.72E+03,18.74E+03,-121.74E+00,189.13E+00,188.87E+00,281.40E+00,58.67E+00,193.06E+00,192.79E+00,291.47E+00,120.06E+00,193.52E+00,193.29E+00,286.44E+00,178.61E+00,1.345E+06,2.561E+06,1.195E+06,5.07E+06,2.450E+06,2.566E+06,2.455E+06,7.47E+06,-1.943E+06,0.160E+06,2.163E+06,5.49E+06,-0.5494E+00,-0.9982E+00,0.5047E+00,0.6795E+00,49.998E+00,22.60E+03,12.94E+03,18.80E+03,0.00E+00,22.42E+03,13.28E+03,19.36E+03,118.84E+00,22.39E+03,12.68E+03,18.50E+03,-121.82E+00,176.15E+00,175.87E+00,259.66E+00,56.62E+00,179.86E+00,179.56E+00,265.73E+00,117.80E+00,181.02E+00,180.76E+00,266.30E+00,176.51E+00,1.191E+06,2.394E+06,1.139E+06,4.75E+06,2.288E+06,2.399E+06,2.303E+06,6.99E+06,-2.060E+06,-0.160E+06,1.988E+06,-5.19E+06,-0.5191E+00,-0.9978E+00,0.4730E+00,0.6782E+00,113.841E+06,0.000E+06,95.450E+06,-29.586E+06,0.00000E+00,0.041E+06,0.000E+06,0.042E+06,-0.002E+06,4.90E+06,0.00E+06,5.09E+06,-0.21E+06,0.6934E+00,0.000E+03
2023-07-21 13:59:00,0019:34:00,00000000,50.016E+00,22.57E+03,12.93E+03,0.00E+00,22.40E+03,13.27E+03,118.90E+00,22.37E+03,12.67E+03,-121.77E+00,199.16E+00,198.90E+00,56.40E+00,203.57E+00,203.30E+00,117.67E+00,204.22E+00,203.96E+00,176.28E+00,1.421E+06,2.694E+06,1.214E+06,5.33E+06,2.574E+06,2.701E+06,2.588E+06,7.86E+06,-2.144E+06,0.048E+06,2.283E+06,3.87E+06,-0.5520E+00,0.9972E+00,0.4693E+00,0.6778E+00,50.034E+00,22.67E+03,12.98E+03,19.14E+03,0.00E+00,22.50E+03,13.32E+03,19.70E+03,118.94E+00,22.47E+03,12.72E+03,18.75E+03,-121.74E+00,242.84E+00,242.56E+00,369.64E+00,58.84E+00,248.87E+00,248.56E+00,376.50E+00,120.41E+00,248.48E+00,248.23E+00,375.93E+00,178.81E+00,1.874E+06,3.263E+06,1.321E+06,6.43E+06,3.117E+06,3.281E+06,3.128E+06,9.52E+06,-1.904E+06,0.335E+06,2.850E+06,7.03E+06,-0.6014E+00,0.9983E+00,0.5078E+00,0.6796E+00,49.998E+00,22.40E+03,12.83E+03,18.79E+03,0.00E+00,22.24E+03,13.17E+03,19.35E+03,118.83E+00,22.21E+03,12.58E+03,18.49E+03,-121.83E+00,172.99E+00,172.71E+00,256.34E+00,52.96E+00,177.06E+00,176.78E+00,260.12E+00,114.01E+00,178.36E+00,178.09E+00,263.32E+00,172.59E+00,1.170E+06,2.353E+06,1.123E+06,4.66E+06,2.244E+06,2.358E+06,2.269E+06,6.87E+06,-2.497E+06,-0.168E+06,1.960E+06,-5.24E+06,-0.5165E+00,0.9948E+00,0.4124E+00,0.6749E+00,113.885E+06,0.000E+06,95.490E+06,-29.594E+06,0.00000E+00,0.044E+06,0.000E+06,0.040E+06,-0.008E+06,5.33E+06,0.00E+06,4.82E+06,-0.96E+06,0.7413E+00,0.000E+03
2023-07-21 13:59:30,0019:34:30,00000000,50.045E+00,22.45E+03,12.85E+03,0.00E+00,22.28E+03,13.20E+03,118.89E+00,22.25E+03,12.60E+03,-121.79E+00,233.83E+00,233.55E+00,53.77E+00,239.27E+00,238.98E+00,114.88E+00,239.34E+00,239.06E+00,173.51E+00,1.774E+06,3.147E+06,1.288E+06,6.21E+06,3.007E+06,3.160E+06,3.019E+06,9.18E+06,-2.427E+06,0.287E+06,2.730E+06,6.77E+06,-0.5901E+00,0.9959E+00,0.4267E+00,0.6761E+00,50.055E+00,22.46E+03,12.86E+03,19.17E+03,0.00E+00,22.30E+03,13.21E+03,19.84E+03,118.93E+00,22.28E+03,12.62E+03,18.76E+03,-121.77E+00,240.91E+00,240.64E+00,370.78E+00,54.10E+00,246.89E+00,246.62E+00,377.76E+00,115.23E+00,246.16E+00,245.90E+00,374.90E+00,173.79E+00,1.842E+06,3.244E+06,1.323E+06,6.38E+06,3.095E+06,3.260E+06,3.105E+06,9.46E+06,-2.378E+06,0.320E+06,2.821E+06,6.98E+06,-0.5967E+00,0.9962E+00,0.4313E+00,0.6772E+00,50.032E+00,22.42E+03,12.84E+03,18.84E+03,0.00E+00,22.26E+03,13.18E+03,19.38E+03,118.85E+00,22.23E+03,12.59E+03,18.49E+03,-121.82E+00,228.75E+00,228.46E+00,343.31E+00,53.30E+00,234.52E+00,234.25E+00,351.44E+00,114.17E+00,234.82E+00,234.57E+00,348.69E+00,172.94E+00,1.732E+06,3.086E+06,1.261E+06,6.09E+06,2.942E+06,3.098E+06,2.964E+06,9.02E+06,-2.495E+06,0.271E+06,2.677E+06,6.64E+06,-0.5854E+00,0.9949E+00,0.4178E+00,0.6751E+00,113.937E+06,0.000E+06,95.546E+06,-29.594E+06,0.00000E+00,0.052E+06,0.000E+06,0.056E+06,0.000E+06,6.21E+06,0.00E+06,6.77E+06,0.00E+06,0.6761E+00,0.000E+03
2023-07-21 14:00:00,0019:35:00,00000000,50.066E+00,22.65E+03,12.97E+03,0.00E+00,22.48E+03,13.31E+03,118.96E+00,22.46E+03,12.72E+03,-121.76E+00,186.84E+00,186.57E+00,57.74E+00,191.19E+00,190.91E+00,119.02E+00,191.72E+00,191.44E+00,177.57E+00,1.290E+06,2.538E+06,1.193E+06,5.02E+06,2.423E+06,2.545E+06,2.439E+06,7.41E+06,-2.049E+06,-0.070E+06,2.126E+06,-2.30E+06,-0.5323E+00,-0.9972E+00,0.4889E+00,0.6779E+00,50.084E+00,22.72E+03,13.01E+03,19.17E+03,0.00E+00,22.55E+03,13.35E+03,19.77E+03,119.02E+00,22.53E+03,12.77E+03,18.80E+03,-121.73E+00,240.03E+00,239.77E+00,366.20E+00,59.61E+00,245.15E+00,244.87E+00,376.62E+00,121.04E+00,244.78E+00,244.51E+00,372.61E+00,179.45E+00,1.824E+06,3.223E+06,1.321E+06,6.36E+06,3.086E+06,3.237E+06,3.088E+06,9.41E+06,-1.874E+06,0.303E+06,2.793E+06,6.93E+06,-0.5919E+00,-0.9982E+00,0.5174E+00,-0.6793E+00,50.049E+00,22.43E+03,12.84E+03,18.82E+03,0.00E+00,22.27E+03,13.19E+03,19.41E+03,118.89E+00,22.24E+03,12.60E+03,18.53E+03,-121.82E+00,167.05E+00,166.78E+00,247.87E+00,53.64E+00,171.33E+00,171.05E+00,251.99E+00,114.64E+00,172.21E+00,171.90E+00,255.77E+00,173.24E+00,1.100E+06,2.282E+06,1.130E+06,4.52E+06,2.173E+06,2.288E+06,2.197E+06,6.66E+06,-2.489E+06,-0.171E+06,1.883E+06,-5.23E+06,-0.5050E+00,0.9955E+00,0.4226E+00,0.6754E+00,113.979E+06,0.000E+06,95.559E+06,-29.627E+06,0.00000E+00,0.042E+06,0.000E+06,0.013E+06,-0.032E+06,5.02E+06,0.00E+06,1.57E+06,-3.87E+06,0.9541E+00,0.000E+03
2023-07-21 14:00:30,0019:35:30,00000000,50.083E+00,22.69E+03,12.99E+03,0.00E+00,22.52E+03,13.33E+03,119.02E+00,22.50E+03,12.76E+03,-121.73E+00,175.37E+00,175.11E+00,58.71E+00,179.20E+00,178.93E+00,120.07E+00,180.03E+00,179.77E+00,178.65E+00,1.182E+06,2.385E+06,1.160E+06,4.73E+06,2.279E+06,2.390E+06,2.298E+06,6.97E+06,-1.949E+06,-0.153E+06,1.984E+06,-1.50E+06,-0.5185E+00,-0.9979E+00,0.5048E+00,-0.6785E+00,50.090E+00,22.72E+03,13.01E+03,19.14E+03,0.00E+00,22.55E+03,13.35E+03,19.65E+03,119.06E+00,22.53E+03,12.77E+03,18.80E+03,-121.69E+00,181.94E+00,181.68E+00,270.99E+00,59.22E+00,185.42E+00,185.14E+00,283.46E+00,120.63E+00,186.16E+00,185.92E+00,278.54E+00,179.12E+00,1.261E+06,2.466E+06,1.187E+06,4.89E+06,2.362E+06,2.471E+06,2.376E+06,7.20E+06,-1.885E+06,0.149E+06,2.066E+06,5.29E+06,-0.5348E+00,0.9982E+00,0.5120E+00,-0.6792E+00,50.078E+00,22.66E+03,12.97E+03,18.82E+03,0.00E+00,22.49E+03,13.31E+03,19.38E+03,118.99E+00,22.47E+03,12.74E+03,18.59E+03,-121.75E+00,168.54E+00,168.30E+00,250.51E+00,57.61E+00,172.49E+00,172.23E+00,257.26E+00,118.82E+00,173.39E+00,173.08E+00,257.83E+00,177.62E+00,1.121E+06,2.297E+06,1.131E+06,4.55E+06,2.193E+06,2.303E+06,2.215E+06,6.71E+06,-2.012E+06,-0.164E+06,1.903E+06,-5.21E+06,-0.5110E+00,-0.9976E+00,0.4893E+00,-0.6780E+00,114.018E+06,0.000E+06,95.575E+06,-29.654E+06,0.00000E+00,0.039E+06,0.000E+06,0.015E+06,-0.028E+06,4.73E+06,0.00E+06,1.81E+06,-3.31E+06,0.9339E+00,0.000E+03
2023-07-21 14:01:00,0019:36:00,00000000,50.103E+00,22.69E+03,12.99E+03,0.00E+00,22.52E+03,13.33E+03,119.06E+00,22.50E+03,12.76E+03,-121.70E+00,176.19E+00,175.93E+00,58.60E+00,179.79E+00,179.50E+00,119.97E+00,180.78E+00,180.51E+00,178.61E+00,1.191E+06,2.392E+06,1.163E+06,4.75E+06,2.290E+06,2.397E+06,2.308E+06,6.99E+06,-1.956E+06,-0.155E+06,1.994E+06,0.24E+06,-0.5201E+00,-0.9979E+00,0.5038E+00,0.6785E+00,50.116E+00,22.72E+03,13.00E+03,19.17E+03,0.00E+00,22.54E+03,13.34E+03,19.61E+03,119.09E+00,22.53E+03,12.78E+03,18.82E+03,-121.64E+00,182.02E+00,181.75E+00,271.45E+00,59.31E+00,185.29E+00,185.02E+00,280.26E+00,120.89E+00,186.38E+00,186.12E+00,279.80E+00,179.24E+00,1.243E+06,2.464E+06,1.189E+06,4.90E+06,2.364E+06,2.469E+06,2.379E+06,7.21E+06,-1.887E+06,-0.149E+06,2.061E+06,5.29E+06,-0.5333E+00,-0.9981E+00,0.5130E+00,0.6793E+00,50.086E+00,22.67E+03,12.98E+03,18.79E+03,0.00E+00,22.49E+03,13.31E+03,19.38E+03,119.03E+00,22.48E+03,12.75E+03,18.60E+03,-121.72E+00,168.50E+00,168.23E+00,250.62E+00,57.70E+00,172.61E+00,172.33E+00,259.32E+00,119.16E+00,173.77E+00,173.47E+00,257.03E+00,177.77E+00,1.117E+06,2.298E+06,1.134E+06,4.55E+06,2.192E+06,2.304E+06,2.221E+06,6.72E+06,-2.010E+06,-0.167E+06,1.907E+06,-5.20E+06,-0.5094E+00,-0.9974E+00,0.4910E+00,-0.6778E+00,114.058E+06,0.000E+06,95.597E+06,-29.674E+06,0.00000E+00,0.040E+06,0.000E+06,0.023E+06,-0.020E+06,4.75E+06,0.00E+06,2.70E+06,-2.43E+06,0.8688E+00,0.000E+03
2023-07-21 14:01:30,0019:36:30,00000000,50.106E+00,22.67E+03,12.98E+03,0.00E+00,22.50E+03,13.31E+03,119.06E+00,22.47E+03,12.75E+03,-121.69E+00,180.84E+00,180.57E+00,58.15E+00,184.70E+00,184.42E+00,119.72E+00,186.15E+00,185.89E+00,178.22E+00,1.237E+06,2.455E+06,1.182E+06,4.87E+06,2.348E+06,2.460E+06,2.374E+06,7.18E+06,-1.995E+06,-0.123E+06,2.059E+06,4.59E+06,-0.5267E+00,-0.9980E+00,0.4978E+00,0.6787E+00,50.114E+00,22.72E+03,13.01E+03,19.16E+03,0.00E+00,22.55E+03,13.34E+03,19.62E+03,119.08E+00,22.53E+03,12.78E+03,18.83E+03,-121.66E+00,189.88E+00,189.66E+00,283.46E+00,59.24E+00,193.47E+00,193.24E+00,288.04E+00,120.87E+00,195.04E+00,194.77E+00,289.41E+00,179.28E+00,1.321E+06,2.570E+06,1.219E+06,5.11E+06,2.463E+06,2.575E+06,2.486E+06,7.52E+06,-1.905E+06,0.159E+06,2.167E+06,5.52E+06,-0.5384E+00,0.9983E+00,0.5134E+00,0.6796E+00,50.096E+00,22.62E+03,12.95E+03,18.86E+03,0.00E+00,22.46E+03,13.29E+03,19.32E+03,119.03E+00,22.43E+03,12.73E+03,18.54E+03,-121.72E+00,170.27E+00,169.98E+00,253.48E+00,57.37E+00,174.16E+00,173.85E+00,260.58E+00,118.66E+00,175.54E+00,175.27E+00,259.55E+00,177.39E+00,1.130E+06,2.319E+06,1.144E+06,4.60E+06,2.215E+06,2.324E+06,2.244E+06,6.78E+06,-2.080E+06,-0.171E+06,1.925E+06,-5.19E+06,-0.5104E+00,-0.9975E+00,0.4856E+00,0.6777E+00,114.098E+06,0.000E+06,95.638E+06,-29.677E+06,0.00000E+00,0.041E+06,0.000E+06,0.041E+06,-0.003E+06,4.87E+06,0.00E+06,4.93E+06,-0.34E+06,0.7027E+00,0.000E+03
2023-07-21 14:02:00,0019:37:00,00000000,50.107E+00,22.68E+03,12.98E+03,0.00E+00,22.51E+03,13.32E+03,119.10E+00,22.48E+03,12.76E+03,-121.65E+00,175.79E+00,175.52E+00,58.56E+00,179.58E+00,179.29E+00,120.30E+00,181.43E+00,181.15E+00,178.71E+00,1.189E+06,2.388E+06,1.168E+06,4.74E+06,2.283E+06,2.393E+06,2.315E+06,6.99E+06,-1.949E+06,-0.160E+06,1.999E+06,-0.11E+06,-0.5206E+00,-0.9978E+00,0.5046E+00,-0.6787E+00,50.115E+00,22.70E+03,12.99E+03,19.21E+03,0.00E+00,22.53E+03,13.33E+03,19.63E+03,119.13E+00,22.50E+03,12.77E+03,18.78E+03,-121.61E+00,179.62E+00,179.35E+00,272.13E+00,58.96E+00,184.02E+00,183.73E+00,278.66E+00,120.70E+00,185.62E+00,185.36E+00,279.80E+00,179.03E+00,1.227E+06,2.448E+06,1.187E+06,4.85E+06,2.333E+06,2.454E+06,2.369E+06,7.15E+06,-1.915E+06,-0.154E+06,2.051E+06,5.25E+06,-0.5266E+00,-0.9980E+00,0.5089E+00,-0.6796E+00,50.102E+00,22.65E+03,12.96E+03,18.83E+03,0.00E+00,22.48E+03,13.30E+03,19.34E+03,119.05E+00,22.45E+03,12.74E+03,18.54E+03,-121.70E+00,172.29E+00,172.04E+00,251.76E+00,58.15E+00,175.83E+00,175.56E+00,258.74E+00,119.86E+00,178.04E+00,177.77E+00,262.29E+00,178.31E+00,1.152E+06,2.339E+06,1.150E+06,4.66E+06,2.238E+06,2.344E+06,2.273E+06,6.86E+06,-1.991E+06,-0.165E+06,1.957E+06,-5.24E+06,-0.5149E+00,-0.9975E+00,0.4989E+00,-0.6780E+00,114.138E+06,0.000E+06,95.659E+06,-29.699E+06,0.00000E+00,0.040E+06,0.000E+06,0.021E+06,-0.022E+06,4.74E+06,0.00E+06,2.51E+06,-2.62E+06,0.8839E+00,0.000E+03
2023-07-21 14:02:30,0019:37:30,00000000,50.112E+00,22.66E+03,12.97E+03,0.00E+00,22.48E+03,13.30E+03,119.12E+00,22.46E+03,12.74E+03,-121.61E+00,178.67E+00,178.40E+00,58.34E+00,182.80E+00,182.52E+00,120.03E+00,184.41E+00,184.14E+00,178.39E+00,1.215E+06,2.427E+06,1.173E+06,4.82E+06,2.318E+06,2.433E+06,2.351E+06,7.10E+06,-1.975E+06,-0.156E+06,2.038E+06,3.65E+06,-0.5239E+00,-0.9979E+00,0.4990E+00,0.6781E+00,50.120E+00,22.68E+03,12.98E+03,19.14E+03,0.00E+00,22.51E+03,13.31E+03,19.58E+03,119.17E+00,22.48E+03,12.76E+03,18.78E+03,-121.58E+00,187.14E+00,186.85E+00,282.09E+00,58.90E+00,191.63E+00,191.33E+00,291.36E+00,120.57E+00,192.66E+00,192.42E+00,292.62E+00,178.93E+00,1.294E+06,2.544E+06,1.199E+06,5.03E+06,2.426E+06,2.549E+06,2.456E+06,7.43E+06,-1.931E+06,0.157E+06,2.146E+06,5.46E+06,-0.5387E+00,-0.9982E+00,0.5074E+00,0.6788E+00,50.104E+00,22.64E+03,12.96E+03,18.81E+03,0.00E+00,22.46E+03,13.29E+03,19.29E+03,119.08E+00,22.43E+03,12.73E+03,18.53E+03,-121.65E+00,174.00E+00,173.74E+00,257.03E+00,57.34E+00,178.43E+00,178.16E+00,262.41E+00,119.01E+00,180.04E+00,179.78E+00,264.24E+00,177.40E+00,1.172E+06,2.371E+06,1.156E+06,4.70E+06,2.260E+06,2.376E+06,2.295E+06,6.94E+06,-2.052E+06,-0.165E+06,1.981E+06,-5.24E+06,-0.5155E+00,-0.9976E+00,0.4839E+00,0.6772E+00,114.178E+06,0.000E+06,95.696E+06,-29.706E+06,0.00000E+00,0.040E+06,0.000E+06,0.037E+06,-0.007E+06,4.81E+06,0.00E+06,4.43E+06,-0.79E+06,0.7359E+00,0.000E+03
2023-07-21 14:03:00,0019:38:00,00000000,50.103E+00,22.63E+03,12.95E+03,0.00E+00,22.47E+03,13.29E+03,119.13E+00,22.43E+03,12.74E+03,-121.61E+00,188.50E+00,188.24E+00,57.51E+00,192.75E+00,192.47E+00,119.04E+00,194.03E+00,193.77E+00,177.50E+00,1.310E+06,2.557E+06,1.201E+06,5.07E+06,2.443E+06,2.562E+06,2.472E+06,7.48E+06,-2.062E+06,0.036E+06,2.161E+06,5.50E+06,-0.5362E+00,0.9981E+00,0.4857E+00,0.6778E+00,50.116E+00,22.67E+03,12.97E+03,19.14E+03,0.00E+00,22.49E+03,13.30E+03,19.56E+03,119.16E+00,22.47E+03,12.75E+03,18.76E+03,-121.56E+00,196.31E+00,196.07E+00,292.73E+00,58.23E+00,200.91E+00,200.64E+00,304.52E+00,119.79E+00,201.58E+00,201.34E+00,301.32E+00,178.21E+00,1.374E+06,2.663E+06,1.231E+06,5.27E+06,2.540E+06,2.668E+06,2.566E+06,7.77E+06,-1.994E+06,0.164E+06,2.253E+06,5.72E+06,-0.5447E+00,0.9983E+00,0.4960E+00,0.6786E+00,50.088E+00,22.60E+03,12.93E+03,18.85E+03,0.00E+00,22.44E+03,13.27E+03,19.30E+03,119.06E+00,22.40E+03,12.72E+03,18.54E+03,-121.66E+00,180.58E+00,180.31E+00,269.04E+00,56.94E+00,184.71E+00,184.44E+00,273.39E+00,118.43E+00,186.12E+00,185.82E+00,275.34E+00,176.86E+00,1.233E+06,2.453E+06,1.178E+06,4.86E+06,2.344E+06,2.458E+06,2.375E+06,7.18E+06,-2.137E+06,-0.163E+06,2.062E+06,5.28E+06,-0.5256E+00,-0.9979E+00,0.4757E+00,0.6769E+00,114.220E+06,0.000E+06,95.742E+06,-29.706E+06,0.00000E+00,0.042E+06,0.000E+06,0.046E+06,0.000E+06,5.07E+06,0.00E+06,5.50E+06,0.00E+06,0.6778E+00,0.000E+03
2023-07-21 14:03:30,0019:38:30,00000000,50.076E+00,22.61E+03,12.94E+03,0.00E+00,22.44E+03,13.27E+03,119.12E+00,22.42E+03,12.73E+03,-121.60E+00,193.71E+00,193.45E+00,57.17E+00,198.11E+00,197.83E+00,118.64E+00,199.26E+00,199.00E+00,177.13E+00,1.358E+06,2.625E+06,1.218E+06,5.20E+06,2.508E+06,2.630E+06,2.537E+06,7.67E+06,-2.109E+06,0.159E+06,2.226E+06,5.64E+06,-0.5412E+00,0.9981E+00,0.4799E+00,0.6776E+00,50.090E+00,22.63E+03,12.95E+03,19.20E+03,0.00E+00,22.47E+03,13.28E+03,19.52E+03,119.15E+00,22.44E+03,12.74E+03,18.76E+03,-121.58E+00,200.19E+00,199.94E+00,298.00E+00,57.64E+00,204.77E+00,204.49E+00,310.13E+00,119.16E+00,205.48E+00,205.23E+00,306.58E+00,177.72E+00,1.409E+06,2.712E+06,1.247E+06,5.37E+06,2.592E+06,2.718E+06,2.616E+06,7.92E+06,-2.058E+06,0.172E+06,2.299E+06,5.83E+06,-0.5471E+00,0.9982E+00,0.4889E+00,0.6783E+00,50.065E+00,22.59E+03,12.93E+03,18.83E+03,0.00E+00,22.42E+03,13.26E+03,19.30E+03,119.07E+00,22.39E+03,12.71E+03,18.54E+03,-121.67E+00,188.70E+00,188.43E+00,278.77E+00,56.77E+00,193.24E+00,192.95E+00,285.29E+00,118.14E+00,194.86E+00,194.60E+00,286.55E+00,176.63E+00,1.315E+06,2.562E+06,1.196E+06,5.08E+06,2.444E+06,2.567E+06,2.482E+06,7.49E+06,-2.176E+06,-0.159E+06,2.172E+06,5.51E+06,-0.5343E+00,0.9979E+00,0.4723E+00,0.6771E+00,114.264E+06,0.000E+06,95.789E+06,-29.706E+06,0.00000E+00,0.043E+06,0.000E+06,0.047E+06,0.000E+06,5.20E+06,0.00E+06,5.64E+06,0.00E+06,0.6776E+00,0.000E+03
2023-07-21 14:04:00,0019:39:00,00000000,50.072E+00,22.59E+03,12.93E+03,0.00E+00,22.42E+03,13.26E+03,119.12E+00,22.39E+03,12.71E+03,-121.61E+00,199.84E+00,199.59E+00,56.86E+00,204.37E+00,204.10E+00,118.18E+00,205.13E+00,204.87E+00,176.74E+00,1.411E+06,2.706E+06,1.237E+06,5.35E+06,2.586E+06,2.711E+06,2.609E+06,7.90E+06,-2.166E+06,0.168E+06,2.297E+06,5.81E+06,-0.5459E+00,0.9981E+00,0.4741E+00,0.6774E+00,50.079E+00,22.62E+03,12.95E+03,19.10E+03,0.00E+00,22.45E+03,13.28E+03,19.57E+03,119.14E+00,22.43E+03,12.73E+03,18.74E+03,-121.58E+00,206.14E+00,205.91E+00,308.41E+00,57.27E+00,210.94E+00,210.69E+00,316.65E+00,118.65E+00,211.21E+00,210.97E+00,314.13E+00,177.21E+00,1.468E+06,2.788E+06,1.256E+06,5.51E+06,2.661E+06,2.794E+06,2.680E+06,8.13E+06,-2.101E+06,0.181E+06,2.369E+06,5.98E+06,-0.5535E+00,0.9983E+00,0.4813E+00,0.6782E+00,50.065E+00,22.54E+03,12.90E+03,18.83E+03,0.00E+00,22.37E+03,13.23E+03,19.26E+03,119.08E+00,22.35E+03,12.68E+03,18.52E+03,-121.67E+00,192.90E+00,192.68E+00,284.38E+00,56.34E+00,197.48E+00,197.24E+00,292.96E+00,117.63E+00,198.44E+00,198.14E+00,294.68E+00,176.14E+00,1.350E+06,2.616E+06,1.208E+06,5.18E+06,2.498E+06,2.621E+06,2.524E+06,7.64E+06,-2.221E+06,0.158E+06,2.214E+06,5.62E+06,-0.5398E+00,0.9978E+00,0.4650E+00,0.6768E+00,114.308E+06,0.000E+06,95.837E+06,-29.706E+06,0.00000E+00,0.045E+06,0.000E+06,0.048E+06,0.000E+06,5.35E+06,0.00E+06,5.81E+06,0.00E+06,0.6774E+00,0.000E+03
